zpid,street,zipcode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,totalRooms,lastSoldDate,lastSoldPrice,zest,zestlow,zesthigh,percentile,zindexValue,numFloors,roof,exteriorMaterial,parkingType,heatingSources,heatingSystem,coolingSystem,floorCovering,architecture,basement,coveredParkingSpaces,adjLastSoldPrice,adjTaxAssessment,medianUSpriceAssessmentYear,medianUSpriceLastSoldDate,medianUSpriceThisYear
73601946,1136 Fischer Ave,40204,2013,91650,1920,3920,1240,1,2,6,2017-03-23,155e3,172240,160183,180852,60,122600,NA,Shake / Shingle,Vinyl,Off-street,Gas,Forced air,Central,Other,Other,NA,NA,144640.96984768417,103788.24630032705,265091,321700,300200
73602053,1235 Rufer Ave,40204,2013,148e3,1925,3484,1095,1,2,NA,2017-05-09,181e3,185041,175789,194293,63,122600,NA,NA,NA,"Off-street, On-street",NA,Forced air,Central,Hardwood,NA,NA,NA,167911.61928306552,167601.31426566726,265091,323600,300200
73603077,1317 Hepburn Ave,40204,2013,219450,1900,6020,2700,4,4,11,2017-08-11,15e4,387432,348689,410678,90,183200,2,Asphalt,Other,"Garage - Attached, Garage - Detached",Gas,Forced air,Central,Other,Other,NA,2,15e4,248514.24605135596,265091,300200,300200
73588510,1002 Highland Ave,40204,2013,75e3,1910,4791,1025,1,2,4,2017-04-28,179e3,182280,173166,191394,62,122600,NA,Shake / Shingle,Other,NA,Gas,Forced air,Central,Other,Other,NA,NA,172728.3831565413,84933.0984454395,265091,311100,300200
73588809,945 E Saint Catherine St,40204,2013,145250,1900,7405,1828,2,4,NA,2017-08-31,145e3,153116,145460,163834,56,122600,NA,Composition,NA,NA,Gas,Forced air,NA,NA,Other,NA,NA,145e3,164487.10065600116,265091,300200,300200
73590820,1027 Mary St,40204,2013,46160,1890,3768,928,1,3,5,2017-04-25,171e3,174444,165722,183166,61,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165008.67888138862,52273.49098988649,265091,311100,300200
73591855,1306 Highland Ave,40204,2013,33e4,1900,3484,2636,3,5,9,2017-06-20,36e4,364216,346005,382427,88,183200,3,Shake / Shingle,Vinyl,Off-street,Gas,Forced air,Central,"Carpet, Hardwood, Tile",Other,Unfinished,NA,341675.62440720835,373705.6331599338,265091,316300,300200
73600347,776 Logan St,40204,2013,76840,1900,3484,2176,2,3,10,2016-11-27,169900,178101,167415,187006,61,87400,NA,Shake / Shingle,Vinyl,Off-street,None,Forced air,Central,Other,Other,NA,NA,161917.39682539683,87016.79046063428,265091,315e3,300200
73455048,2226 Patterson Ave,40204,2013,177e3,1910,3049,1937,3,3,7,2017-06-01,38e4,378396,351908,397316,89,374300,NA,Shake / Shingle,Other,Off-street,"Electric, Gas",Forced air,Central,Other,Other,NA,NA,360657.60354094213,200442.1123312372,265091,316300,300200
73455118,2232 Grinstead Dr,40204,2013,113850,1915,4791,2054,2.5,4,NA,2017-01-26,185e3,228079,200710,269133,70,374300,NA,NA,NA,Off-street,NA,Forced air,Central,Hardwood,NA,NA,NA,176196.06598984773,128928.44344017714,265091,315200,300200
73455139,1623 Rosewood Ave,40204,2013,243e3,1900,4356,1998,2.5,3,3,2017-07-07,319e3,327246,310884,343608,85,298800,2,Shake / Shingle,"Wood, Vinyl",Off-street,Gas,Other,Central,Hardwood,Queen Anne / Victorian,Unfinished,2,299355.4235698656,275183.23896322394,265091,319900,300200
73457427,1701 Rosewood Ave,40204,2013,181180,1910,4356,1868,2,3,NA,2016-11-18,25e4,270507,256982,284032,78,298800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238253.96825396825,205175.7170179297,265091,315e3,300200
73457739,2206 Grinstead Dr,40204,2013,15e4,1900,2492,1759,2,2,NA,2016-11-22,22e4,229658,199802,241141,71,374300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209663.49206349204,169866.196890879,265091,315e3,300200
73465241,2216 Patterson Ave,40204,2013,196810,1906,3920,2016,2,3,NA,2017-09-05,217500,256822,223435,285072,75,374300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222875.7747339593,265091,NA,300200
73465591,1601 Lucia Ave,40204,2013,169500,1900,5148,2911,2,4,10,2017-06-22,315e3,324462,308239,340685,85,298800,3,Asphalt,Vinyl,Off-street,Gas,Forced air,Central,"Carpet, Hardwood, Tile",Colonial,Unfinished,NA,298966.1713563073,191948.80248669325,265091,316300,300200
73465596,1140 Everett Ave,40204,2013,267e3,1900,8215,1743,2,3,NA,2017-08-03,3e5,300834,279776,315876,82,374300,NA,Shake / Shingle,NA,NA,NA,Forced air,NA,NA,Other,NA,NA,3e5,302361.83046576456,265091,300200,300200
73602868,1330 Christy Ave,40204,2013,84520,1900,2578,1173,1,2,NA,2017-03-16,199e3,187240,176006,205964,63,183200,1,"Shake / Shingle, Other",Vinyl,Off-street,Electric,Forced air,Central,"Hardwood, Tile",Other,NA,1,185700.3419334784,95713.93974144728,265091,321700,300200
73602894,1422 Christy Ave,40204,2013,95e3,1900,3154,1953,2,3,NA,2017-08-07,235e3,238153,226245,261968,72,183200,3,"Asphalt, Shake / Shingle",Metal,Garage - Detached,"Electric, Gas",Forced air,Central,"Hardwood, Laminate",Other,None,1,235e3,107581.9246975567,265091,300200,300200
73602901,1440 Christy Ave,40204,2013,181500,1900,3049,1648,2,2,8,2016-12-01,237e3,227638,216256,239020,70,183200,2,Metal,Wood,On-street,Gas,Forced air,Other,Other,Other,NA,NA,217576.14678899082,205538.09823796357,265091,327e3,300200
73602971,1518 Highland Ave,40204,2013,124700,1900,6965,1274,1,1,NA,2016-12-21,215e3,223507,207862,234682,70,183200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197379.20489296637,141215.43168195072,265091,327e3,300200
73603041,1406 Hepburn Ave,40204,2013,128600,1900,5227,1952,2,3,NA,2017-07-26,325e3,318283,283272,334197,84,183200,2,Shake / Shingle,Vinyl,"Off-street, On-street",Gas,Forced air,Central,"Carpet, Hardwood, Tile",Other,Unfinished,NA,304985.93310409505,145631.95280111357,265091,319900,300200
73455036,1240 Everett Ave,40204,2013,266090,1905,6098,2513,2,3,7,2017-05-05,47e4,474144,445695,497851,94,374300,NA,Shake / Shingle,Vinyl,Off-street,None,Forced air,Central,Other,Other,NA,NA,436013.59703337454,301331.30887129327,265091,323600,300200
73574823,829 E Chestnut St,40204,2013,65340,1900,4356,2268,4,4,7,2017-06-20,249900,252704,237542,265339,74,112900,NA,Shake / Shingle,Vinyl,Off-street,None,Forced air,Central,Other,Other,NA,NA,237179.8292760038,73993.71536566688,265091,316300,300200
73590988,934 E Madison St,40204,2013,7e4,1900,5662,1256,1,2,NA,2016-12-01,19e4,187053,173959,196406,63,112900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174428.13455657492,79270.89188241019,265091,327e3,300200
73591634,412 Cooper St,40204,2013,1e5,1920,2470,1140,1,2,NA,2017-06-19,149e3,155272,147508,169246,57,NA,2,Shake / Shingle,Wood,Garage - Detached,NA,Other,Central,NA,Other,Partially finished,NA,141415.7445463168,113244.13126058599,265091,316300,300200
73591888,1309 Payne St,40204,2013,13e3,2014,4791,815,2,2,NA,2017-06-27,16e4,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151855.83306987036,14721.737063876179,265091,316300,300200
73591889,1310 Payne St,40204,2013,79710,1900,3484,912,1,3,4,2017-08-09,157e3,149757,142269,158742,55,NA,NA,Shake / Shingle,Other,None,Gas,Other,Central,Other,Other,NA,NA,157e3,90266.89702781309,265091,300200,300200
73601236,610 Barret Ave,40204,2013,87630,1904,2400,1980,2,2,8,2017-01-06,17e4,178391,167688,190878,61,112900,1,Shake / Shingle,Wood,Off-street,Gas,Forced air,Central,"Hardwood, Carpet",Other,Finished,NA,161909.89847715737,99235.83222365151,265091,315200,300200
73606929,1435 Christy Ave,40204,2013,113e3,1900,2178,992,1,2,6,2016-11-23,159e3,166604,158274,174934,59,183200,NA,Shake / Shingle,Other,Off-street,Gas,Forced air,Central,Other,Other,NA,NA,151529.52380952382,127965.86832446216,265091,315e3,300200
73662220,545 S Campbell St,40204,2013,120560,2002,2178,1730,3,3,7,2017-03-21,188e3,174795,166055,183535,61,112900,NA,Shake / Shingle,Vinyl,NA,Gas,Forced air,Central,Other,Other,NA,NA,175435.49891202984,136527.12464776248,265091,321700,300200
73662244,935 E Liberty St,40204,2013,35990,1900,2613,1405,2,3,5,2017-09-13,188e3,187817,178426,197208,63,112900,NA,Other,NA,On-street,NA,Forced air,"Central, Other","Tile, Hardwood",NA,NA,NA,NA,40756.5628406849,265091,NA,300200
73662266,313 S Wenzel St,40204,2013,2e4,1900,2174,1596,1,3,NA,2017-03-06,15e4,167370,155654,179086,59,112900,2,Other,Brick,"Off-street, On-street",NA,Other,Central,NA,Other,NA,NA,139975.13211066212,22648.826252117196,265091,321700,300200
73662452,419 Pine St,40204,2013,128e3,1900,1742,1584,2,2,NA,2017-05-23,229900,225055,213802,236308,70,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,213275.587144623,144952.48801355006,265091,323600,300200
73666831,1117 E Breckinridge St,40204,2013,128e3,1900,5227,1360,1,2,NA,2016-11-23,168500,176178,167369,184987,61,NA,1,Shake / Shingle,Other,Garage - Detached,NA,Other,Central,NA,Other,NA,NA,160583.1746031746,144952.48801355006,265091,315e3,300200
73662215,936 E Muhammad Ali Blvd,40204,2013,96500,1999,3049,1080,2,3,5,2016-12-07,109e3,122391,113824,130958,44,112900,2,Composition,Vinyl,Garage - Detached,Electric,Forced air,Central,"Carpet, Laminate",NA,None,NA,100066.66666666667,109280.58666646547,265091,327e3,300200
73662362,1209 Hull St,40204,2013,83e3,1900,2613,1042,1,2,NA,2017-08-31,130500,128490,122066,134914,47,NA,1,Composition,Vinyl,On-street,Gas,Forced air,Central,"Hardwood, Linoleum / Vinyl",Other,None,NA,130500,93992.62894628636,265091,300200,300200
73591213,1017 E Muhammad Ali Blvd,40204,2013,75500,1993,2261,992,1,2,NA,2017-06-26,11e4,110702,105167,116237,36,112900,1,Shake / Shingle,Vinyl,On-street,Gas,"Forced air, Other",Central,"Carpet, Linoleum / Vinyl, Slate",Other,None,NA,104400.88523553588,85499.31910174243,265091,316300,300200
73591647,1305 Payne St,40204,2013,106780,1900,4791,1392,2,2,NA,2017-10-05,117e3,151928,112427,165602,56,NA,NA,Composition,NA,Garage - Detached,Gas,Forced air,NA,NA,Other,NA,NA,NA,120922.08336005372,265091,NA,300200
73591874,1313 Payne St,40204,2013,92500,1900,4791,1017,1,2,6,2016-11-23,11e4,121270,115207,129759,43,NA,NA,Shake / Shingle,Other,None,Gas,Other,Central,Other,Other,NA,NA,104831.74603174602,104750.82141604205,265091,315e3,300200
73467942,721 Kentucky Ave,40222,2013,14e4,1978,10398,1204,2,NA,NA,2017-09-08,18e4,179865,170872,188858,31,85500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158541.78376482037,265091,NA,300200
73588990,946 S Shelby St,40203,2013,25830,1996,3920,1312,1,3,5,2017-01-23,95e3,104768,94291,113149,79,87400,NA,Shake / Shingle,Vinyl,Off-street,Gas,Other,Central,Other,Other,NA,NA,90479.06091370559,29250.959104609363,265091,315200,300200
73590372,1059 Mary St,40204,2013,57860,1900,2613,911,1,2,5,2017-03-03,1e5,106545,101218,117199,32,122600,NA,Shake / Shingle,Vinyl,NA,Gas,Forced air,Central,Other,Other,NA,NA,93316.7547404414,65523.05434737505,265091,321700,300200
73590795,1056 Mary St,40204,2013,78660,1890,2613,852,1,2,NA,2017-05-15,106e3,107120,101764,112476,32,122600,1,Composition,Other,NA,NA,Other,Central,Other,Other,NA,NA,98334.98145859085,89077.83364957693,265091,323600,300200
73591019,1109 Logan St,40204,2013,75670,1900,4791,1400,2,2,NA,2017-04-04,172e3,174888,162646,183632,61,85500,2,Composition,Vinyl,"Off-street, On-street",NA,Other,None,NA,Other,NA,NA,165973.6419157827,85691.83412488541,265091,311100,300200
73667690,1004 Ellison Ave,40204,2013,128e3,1900,4791,1101,1,2,NA,2017-10-02,175e3,174973,166224,183722,61,122600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144952.48801355006,265091,NA,300200
73602124,1013 Samuel St,40204,2013,11e4,1923,4791,980,1,2,NA,2017-09-05,155e3,156443,148621,164265,57,122600,1,Shake / Shingle,Metal,"Garage - Detached, Off-street",NA,Other,Central,Hardwood,Other,Finished,NA,NA,124568.54438664459,265091,NA,300200
