FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
2001,(R4),RES SINGLE FAMILY OVERLAY,RESIDENTIAL,9156.83947631,934295.406212,8.92715761e-06,0.02589595907153
2002,OR1,OFFICE/RES,OFFICE,729.024706527,22957.8017516,2.19368852e-07,0.00237921109981
2003,OR1,OFFICE/RES,OFFICE,868.640618235,43178.5719297,4.12583603e-07,0.002734268930427
2004,R7,RES MULTI-FAMILY,RESIDENTIAL,1746.35625864,140079.11828,1.338775759e-06,0.005326588742743
2005,R7,RES MULTI-FAMILY,RESIDENTIAL,568.500619563,20335.2430461,1.94349312e-07,0.001777632231657
2006,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1582.50543067,143023.6177,1.36688282e-06,0.004966953756861
2007,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1911.60466425,204257.57235,1.952104895e-06,0.006042207779633
2008,R7,RES MULTI-FAMILY,RESIDENTIAL,1932.47846798,230780.066747,2.205607877e-06,0.006023880442612
2009,M2,INDUSTRIAL,INDUSTRIAL,5790.85632184,741636.056389,7.087557938e-06,0.018692350680601
2010,R7,RES MULTI-FAMILY,RESIDENTIAL,2157.72639089,127097.493088,1.214676025e-06,0.006737012609838
2011,OR1,OFFICE/RES,OFFICE,1640.30584701,157670.59358,1.506844854e-06,0.005067357790531
2012,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2560.49039194,409146.62678,3.910223098e-06,0.007908558554281
2013,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1610.0740821,124905.89746,1.193687518e-06,0.00506717098933
2014,M1,INDUSTRIAL,INDUSTRIAL,2111.05677991,249920.89404,2.38840654e-06,0.006328897096799
2015,OR3,OFFICE/RES,OFFICE,1739.46940422,130238.89142,1.244651383e-06,0.005394185330241
2016,R7,RES MULTI-FAMILY,RESIDENTIAL,1282.16469699,85601.7055219,8.18080937e-07,0.003835140498534
2017,R7,RES MULTI-FAMILY,RESIDENTIAL,4460.04981867,962174.38369,9.195173078e-06,0.014187030836836
2018,OR3,OFFICE/RES,OFFICE,2311.34980434,247960.210686,2.369712055e-06,0.007032375655896
2019,OR1,OFFICE/RES,OFFICE,1063.61567877,65337.7480156,6.24419149e-07,0.00327976322127
2020,OR3,OFFICE/RES,OFFICE,1365.45218633,104461.12358,9.98319312e-07,0.004192125145077
2021,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2396.31593517,340078.13321,3.250034684e-06,0.007396688111858
2022,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2281.86908444,292328.725009,2.793872727e-06,0.00740261320488
2023,R7,RES MULTI-FAMILY,RESIDENTIAL,1986.07507306,200094.164263,1.91235502e-06,0.006267967257362
2024,R7,RES MULTI-FAMILY,RESIDENTIAL,4778.54880413,1010205.27903,9.656530492e-06,0.01443806126007
2025,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2786.00061603,428191.667244,4.093113548e-06,0.008712604902412
2026,R7,RES MULTI-FAMILY,RESIDENTIAL,661.691303525,25573.1434352,2.44458367e-07,0.002104333896838
2027,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1899.02480556,233943.72563,2.236342755e-06,0.00595583520716
2028,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1606.56050222,145623.37412,1.392063622e-06,0.005024663882166
2029,OR3,OFFICE/RES,OFFICE,3161.76855289,279554.23995,2.672238297e-06,0.009975887807623
2030,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1199.254464,78080.2398539,7.46371574e-07,0.003722447770013
2031,R5,RES SINGLE FAMILY,RESIDENTIAL,749.420367961,21965.0876578,2.09964651e-07,0.002394843357602
2032,R5,RES SINGLE FAMILY,RESIDENTIAL,3855.33026584,463599.280295,4.431484668e-06,0.012376738084599
2033,OR3,OFFICE/RES,OFFICE,5961.96541203,1000030.57209,9.559128692e-06,0.019101064688703
2034,(OR3),OFFICE/RES OVERLAY,OFFICE,667.798553056,14683.2575328,1.40355595e-07,0.002022980565373
2035,R7,RES MULTI-FAMILY,RESIDENTIAL,887.911582979,49109.4216531,4.69423529e-07,0.002715408085071
2036,OTF,OFFICE/TOURIST FACILITY,OFFICE,3598.96883572,678702.95421,6.487600555e-06,0.011605351831607
2037,R7,RES MULTI-FAMILY,RESIDENTIAL,980.340379097,58664.6517438,5.60752115e-07,0.003100464525732
2038,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,849.714717079,42215.8549094,4.03526148e-07,0.002713689388672
2039,OR2,OFFICE/RES,OFFICE,1608.24569965,140022.1853,1.338406157e-06,0.005077530017486
2040,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,480.91266748,11705.6955328,1.11889538e-07,0.001538457317308
2041,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1159.05738108,47776.2274578,4.56674448e-07,0.003781459365805
2042,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,370.255370696,8441.81055937,8.0692125e-08,0.001146176887335
2043,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1497.65504106,135404.993997,1.294261854e-06,0.004766717734721
2044,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,932.07902822,45092.6137813,4.31010815e-07,0.003038014093956
2045,OR1,OFFICE/RES,OFFICE,525.284160864,15137.6828773,1.44694092e-07,0.001602092795456
2046,R5,RES SINGLE FAMILY,RESIDENTIAL,3165.40873951,533511.810731,5.099549041e-06,0.010192578663773
2047,OR3,OFFICE/RES,OFFICE,3206.01774154,433089.69758,4.139511641e-06,0.009815907176613
2048,R7,RES MULTI-FAMILY,RESIDENTIAL,607.455992297,19150.0951516,1.83083187e-07,0.001980300934632
2049,M3,INDUSTRIAL,INDUSTRIAL,1805.29355479,162485.89531,1.553396458e-06,0.00555856471328
2050,R7,RES MULTI-FAMILY,RESIDENTIAL,570.031598102,11809.8952891,1.12907101e-07,0.001740920207605
2051,M2,INDUSTRIAL,INDUSTRIAL,874.537750787,46578.63342,4.45299892e-07,0.002674739781183
2052,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,678.264536131,27693.3847109,2.64755607e-07,0.002077235486115
2053,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,817.158441683,37528.1820437,3.5877468e-07,0.002466700236339
2054,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,775.692287985,32298.2586937,3.08778304e-07,0.002313088636645
2055,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1677.09958678,66870.7951406,6.39291355e-07,0.004762223012422
2056,R1,RES SINGLE FAMILY,RESIDENTIAL,5416.20747687,970803.04816,9.28077324e-06,0.017698852378753
2057,M2,INDUSTRIAL,INDUSTRIAL,1463.89515148,127523.97341,1.219139145e-06,0.004443619325229
2058,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1493.39470301,64960.0453437,6.21049276e-07,0.00447029152727
2059,M2,INDUSTRIAL,INDUSTRIAL,1670.66036877,79759.1304813,7.6249713e-07,0.005083323719684
2060,M3,INDUSTRIAL,INDUSTRIAL,2361.89050896,255375.609853,2.441383264e-06,0.006932806917473
2061,M2,INDUSTRIAL,INDUSTRIAL,4736.82341258,805427.63753,7.699486344e-06,0.013633460926457
2062,OR3,OFFICE/RES,OFFICE,4387.56272162,829670.470275,7.931542216e-06,0.014112575117697
2063,M3,INDUSTRIAL,INDUSTRIAL,2199.97616065,168189.6474,1.607841805e-06,0.006671870581885
2064,R7,RES MULTI-FAMILY,RESIDENTIAL,1479.03726,94741.1483273,9.05691079e-07,0.004864533961862
2065,R5B,RES TWO-FAMILY,RESIDENTIAL,1110.48931989,51979.3519516,4.96908657e-07,0.003576542768386
2066,UN,URBAN NEIGHBORHOOD,RESIDENTIAL,6888.57500344,1808029.88672,1.7283671053e-05,0.02222708837666
2067,R7,RES MULTI-FAMILY,RESIDENTIAL,448.101842332,9965.84025625,9.5270537e-08,0.001428992212742
2068,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1733.59804069,191119.34199,1.826989432e-06,0.005485556356827
2069,R7,RES MULTI-FAMILY,RESIDENTIAL,858.161300941,43939.4501203,4.2004357e-07,0.002648784544134
2070,M2,INDUSTRIAL,INDUSTRIAL,1247.96851759,78568.9135516,7.51076879e-07,0.004021399777032
2071,R5,RES SINGLE FAMILY,RESIDENTIAL,5241.27814814,1318029.7905,1.2593561806e-05,0.016506470072381
2072,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1920.83248295,194557.817569,1.859024047e-06,0.005986923684978
2073,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2842.70378904,314263.90559,3.002653715e-06,0.008699409373038
2074,R4,RES SINGLE FAMILY,RESIDENTIAL,2474.11985826,251677.529619,2.404816267e-06,0.007674552075685
2075,R6,RES MULTI-FAMILY,RESIDENTIAL,1776.33669305,109396.862775,1.045246895e-06,0.005308849176717
2076,M2,INDUSTRIAL,INDUSTRIAL,6571.81844513,1131731.54555,1.0813511769e-05,0.021468805720266
2077,R5,RES SINGLE FAMILY,RESIDENTIAL,761.887674876,32172.3900734,3.07408186e-07,0.002370861044063
2078,R5,RES SINGLE FAMILY,RESIDENTIAL,3625.07740566,286106.588156,2.733774577e-06,0.011625247274859
2079,R4,RES SINGLE FAMILY,RESIDENTIAL,1016.53979293,59530.3537969,5.68832908e-07,0.003063313921235
2080,R4,RES SINGLE FAMILY,RESIDENTIAL,3917.58430773,568895.905213,5.435673742e-06,0.011734121177911
2081,R7,RES MULTI-FAMILY,RESIDENTIAL,15371.2600453,7138818.55382,6.8208138412e-05,0.048033272872801
2082,R5A,RES MULTI FAMILY,RESIDENTIAL,1326.18281449,68103.4732562,6.51233213e-07,0.004282085306791
2083,R6,RES MULTI-FAMILY,RESIDENTIAL,2841.48064858,416342.236194,3.978256874e-06,0.008718683019992
2084,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,621.342921875,21555.4526266,2.05968938e-07,0.001968053177582
2085,R5A,RES MULTI FAMILY,RESIDENTIAL,5159.53193426,1037425.15355,9.913596431e-06,0.015139185688515
2086,R6,RES MULTI-FAMILY,RESIDENTIAL,2857.90769396,260788.666609,2.491874309e-06,0.009618831619056
2087,R4,RES SINGLE FAMILY,RESIDENTIAL,8167.83912438,1690742.71212,1.6155457649e-05,0.024356545495961
2088,R5,RES SINGLE FAMILY,RESIDENTIAL,9906.3037859,2479219.25663,2.368940747e-05,0.031148516224508
2089,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1325.76190175,58544.6268031,5.59404429e-07,0.003877478360529
2090,R7,RES MULTI-FAMILY,RESIDENTIAL,1567.28923904,103490.63305,9.88893419e-07,0.00500619419227
2091,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3949.83056209,356412.70889,3.405525843e-06,0.012278810560064
2092,R5A,RES MULTI FAMILY,RESIDENTIAL,3285.38216437,557784.944794,5.334161433e-06,0.010253576577228
2093,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1084.32930718,44765.2140672,4.27741858e-07,0.003398286740388
2094,R4,RES SINGLE FAMILY,RESIDENTIAL,249.217962771,3308.6300625,3.1615414e-08,0.000788899170609
2095,R6,RES MULTI-FAMILY,RESIDENTIAL,6692.18659386,926911.753563,8.856881649e-06,0.020932071903359
2096,R5A,RES MULTI FAMILY,RESIDENTIAL,2275.13590456,267043.73645,2.549446077e-06,0.007410313624749
2097,R6,RES MULTI-FAMILY,RESIDENTIAL,918.197207506,43072.1930094,4.1155978e-07,0.00300268266015
2098,R5,RES SINGLE FAMILY,RESIDENTIAL,1386.18834346,111766.93807,1.067969843e-06,0.00435100215518
2099,OR1,OFFICE/RES,OFFICE,650.43742744,17942.8723781,1.71446654e-07,0.00189119986155
2100,R6,RES MULTI-FAMILY,RESIDENTIAL,624.876880419,15037.4247312,1.43684609e-07,0.001804569875327
2101,R5,RES SINGLE FAMILY,RESIDENTIAL,3283.17881047,548992.54036,5.245730507e-06,0.009674631290662
2102,R4,RES SINGLE FAMILY,RESIDENTIAL,881.718586526,47665.69237,4.55466511e-07,0.002718024309345
2103,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,2262.1959714,139993.353896,1.337699293e-06,0.007655963203311
2104,R6,RES MULTI-FAMILY,RESIDENTIAL,8365.78747085,752693.83465,7.192238323e-06,0.025890134519631
2105,M2,INDUSTRIAL,INDUSTRIAL,9595.78151604,859876.63606,8.216053632e-06,0.028071184186382
2106,R5,RES SINGLE FAMILY,RESIDENTIAL,3550.02699498,200247.377589,1.91347665e-06,0.011519454056662
2107,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1085.48383616,46896.2412109,4.48122605e-07,0.003328721841274
2108,OR1,OFFICE/RES,OFFICE,1063.5997751,63316.82657,6.05037802e-07,0.003284800447197
2109,OR1,OFFICE/RES,OFFICE,1614.66332198,116332.773711,1.111633335e-06,0.005097212027974
2110,R5,RES SINGLE FAMILY,RESIDENTIAL,5729.01966796,1587815.36712,1.5171716731e-05,0.017388967071181
2111,R6,RES MULTI-FAMILY,RESIDENTIAL,3695.9387471,399750.37755,3.819967917e-06,0.01209027509156
2112,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,745.831761385,29644.2236711,2.8326501e-07,0.002428370693008
2113,R6,RES MULTI-FAMILY,RESIDENTIAL,716.154323252,11806.8747445,1.12821275e-07,0.002404403611307
2114,R6,RES MULTI-FAMILY,RESIDENTIAL,2431.27562017,240593.11013,2.298936043e-06,0.007783530435921
2115,OR3,OFFICE/RES,OFFICE,3031.38905833,547511.619975,5.231693271e-06,0.009262743316462
2116,R7,RES MULTI-FAMILY,RESIDENTIAL,1170.64289581,47377.8109156,4.52729293e-07,0.003726424710809
2117,R7,RES MULTI-FAMILY,RESIDENTIAL,4546.00088129,1240385.72536,1.1852316218e-05,0.014490401475743
2118,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3108.40687475,467939.914147,4.471069792e-06,0.009977530878057
2119,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1349.10154984,101601.349856,9.71722664e-07,0.004180704476762
2120,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,952.200532081,51860.356157,4.95364685e-07,0.003014645776352
2121,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1612.59336471,122038.74172,1.164944435e-06,0.004979687291567
2122,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1044.70445135,52054.5858875,4.97053718e-07,0.003406037293207
2123,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3390.56070471,296327.847506,2.83153704e-06,0.010850516694885
2124,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,880.073600573,47007.3574156,4.49159915e-07,0.002788047872089
2125,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,683.32280181,24778.7586875,2.36788629e-07,0.002216192954717
2126,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,616.631892201,22161.0588891,2.11881979e-07,0.001854232590658
2127,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1929.72923396,159995.184103,1.529279736e-06,0.006050044891502
2128,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3471.6327924,298554.99371,2.851740844e-06,0.011191943372256
2129,R6,RES MULTI-FAMILY,RESIDENTIAL,1973.30769292,66081.506,6.31455171e-07,0.006311557313496
2130,OR2,OFFICE/RES,OFFICE,1018.09725237,63684.2834125,6.08534886e-07,0.003179884927787
2131,R6,RES MULTI-FAMILY,RESIDENTIAL,5441.52008699,1086553.86472,1.0382889939e-05,0.016567637862441
2132,OR3,OFFICE/RES,OFFICE,4573.92430487,622116.05806,5.944795255e-06,0.013771067328284
2133,R5,RES SINGLE FAMILY,RESIDENTIAL,6256.86141723,1482068.22225,1.4161779655e-05,0.019744731350984
2134,OR3,OFFICE/RES,OFFICE,732.726217729,33055.6486672,3.15874408e-07,0.002297327032907
2135,R4,RES SINGLE FAMILY,RESIDENTIAL,7174.95740544,1301835.29039,1.2439802411e-05,0.021950215936078
2136,R6,RES MULTI-FAMILY,RESIDENTIAL,1886.31727009,183459.80006,1.753116099e-06,0.006043535749553
2137,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,13587.4208252,2433000.069,2.3248242953e-05,0.042518064253402
2138,R4,RES SINGLE FAMILY,RESIDENTIAL,7004.46928459,1957597.2747,1.8705892475e-05,0.022353528680801
2139,R5A,RES MULTI FAMILY,RESIDENTIAL,3518.87656427,632153.64666,6.040447516e-06,0.011209468280803
2140,R7,RES MULTI-FAMILY,RESIDENTIAL,3757.49100923,377226.3647,3.604672974e-06,0.011198729468936
2141,R5B,RES TWO-FAMILY,RESIDENTIAL,455.172585567,11816.2924758,1.1289957e-07,0.001465943914705
2142,R7,RES MULTI-FAMILY,RESIDENTIAL,3114.14074898,427610.169353,4.08619472e-06,0.009502268536158
2143,R5,RES SINGLE FAMILY,RESIDENTIAL,5861.01322887,1629370.77837,1.5569616051e-05,0.018312835296252
2144,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,9312.97603848,1450383.11856,1.3859267861e-05,0.028611877204306
2145,R6,RES MULTI-FAMILY,RESIDENTIAL,769.898033232,35379.5846359,3.38091677e-07,0.002436545244458
2146,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2705.72756364,321607.384397,3.073338888e-06,0.008567823841275
2147,R6,RES MULTI-FAMILY,RESIDENTIAL,981.240724457,61211.0348906,5.84945167e-07,0.003035463518441
2148,R6,RES MULTI-FAMILY,RESIDENTIAL,795.839268371,33393.2782875,3.19107685e-07,0.002387647412306
2149,R5A,RES MULTI FAMILY,RESIDENTIAL,5550.19830209,790256.36283,7.55479783e-06,0.016997739875154
2150,R6,RES MULTI-FAMILY,RESIDENTIAL,2616.99460878,220688.099584,2.108902259e-06,0.008848787139043
2151,R6,RES MULTI-FAMILY,RESIDENTIAL,4283.87968598,798251.803894,7.628165758e-06,0.014100611333803
2152,R5A,RES MULTI FAMILY,RESIDENTIAL,3971.79179907,797090.97507,7.620477155e-06,0.012490250172498
2153,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1122.01790194,67209.241825,6.42250491e-07,0.003624954661641
2154,R6,RES MULTI-FAMILY,RESIDENTIAL,3692.04303601,420844.153531,4.021517259e-06,0.010871299381308
2155,R7,RES MULTI-FAMILY,RESIDENTIAL,2489.58927143,371701.692715,3.552046907e-06,0.007676352621614
2156,OR1,OFFICE/RES,OFFICE,1310.61196232,83219.4512594,7.95234789e-07,0.004247086333898
2157,R7,RES MULTI-FAMILY,RESIDENTIAL,2474.25280404,233108.170331,2.227684647e-06,0.008176041600909
2158,M1,INDUSTRIAL,INDUSTRIAL,2574.44480272,246644.48313,2.356964054e-06,0.007428685156219
2159,R6,RES MULTI-FAMILY,RESIDENTIAL,3194.84153625,250844.95107,2.397155803e-06,0.010233894410532
2160,R6,RES MULTI-FAMILY,RESIDENTIAL,1157.90400268,73024.0201031,6.97829974e-07,0.003636145983222
2161,R6,RES MULTI-FAMILY,RESIDENTIAL,634.028571033,24812.6266859,2.37118813e-07,0.001995720298987
2162,R5A,RES MULTI FAMILY,RESIDENTIAL,3954.2087993,511196.95496,4.880028621e-06,0.012713417655971
2163,OR1,OFFICE/RES,OFFICE,669.127244523,23346.8360297,2.23109519e-07,0.002130309217835
2164,R4,RES SINGLE FAMILY,RESIDENTIAL,27312.1769377,7545668.86709,7.2105737745e-05,0.085205960515256
2165,M1,INDUSTRIAL,INDUSTRIAL,2730.74721994,314051.958104,3.001182862e-06,0.008465837452368
2166,OR3,OFFICE/RES,OFFICE,458.027154587,8900.60604609,8.5058518e-08,0.001480214579811
2167,R7,RES MULTI-FAMILY,RESIDENTIAL,2798.23262503,421221.875531,4.025341595e-06,0.008797653834404
2168,OR2,OFFICE/RES,OFFICE,3924.83493609,422856.802902,4.041000929e-06,0.012084854050301
2169,R7,RES MULTI-FAMILY,RESIDENTIAL,1151.68275618,76847.7227406,7.34384299e-07,0.003588102672752
2170,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2540.92644819,249379.36383,2.383156938e-06,0.007979549345506
2171,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,755.94278587,33003.2512969,3.1540417e-07,0.002288706282738
2172,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,1882.59038867,201198.55003,1.92282466e-06,0.005777785354847
2173,OR3,OFFICE/RES,OFFICE,749.799641808,30742.6397172,2.93808847e-07,0.002386111094654
2174,R7,RES MULTI-FAMILY,RESIDENTIAL,1724.6912814,135963.249813,1.299378452e-06,0.005672349433074
2175,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,975.059897945,57386.6645625,5.47907362e-07,0.003013490289889
2176,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1457.3578412,106845.492587,1.020142049e-06,0.004687134288989
2177,R6,RES MULTI-FAMILY,RESIDENTIAL,4599.35368699,1297554.7358,1.2404920782e-05,0.014249658679769
2178,R5A,RES MULTI FAMILY,RESIDENTIAL,3141.85715513,487138.42508,4.649649875e-06,0.009570363803373
2179,OR1,OFFICE/RES,OFFICE,2934.18663004,364032.27731,3.47659058e-06,0.008523757375788
2180,R5A,RES MULTI FAMILY,RESIDENTIAL,3254.40938049,456468.181278,4.357493915e-06,0.010744913108379
2181,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2147.07646558,221937.783613,2.121084973e-06,0.006651085214618
2182,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,573.78788777,12536.1321281,1.19807385e-07,0.00166037815136
2183,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,556.385456244,15833.0059141,1.51341372e-07,0.001720488261035
2184,R5,RES SINGLE FAMILY,RESIDENTIAL,5287.82828455,1079717.36148,1.0306190053e-05,0.015821600738695
2185,R4,RES SINGLE FAMILY,RESIDENTIAL,1051.07882285,61772.6501781,5.90694559e-07,0.003338461867453
2186,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1486.96138148,106348.97852,1.015694187e-06,0.004878110114885
2187,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,723.675635674,27899.53151,2.66703046e-07,0.002246975846628
2188,OR3,OFFICE/RES,OFFICE,11221.7573499,3379878.26039,3.2307959946e-05,0.036383432546994
2189,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,358.854032873,7165.65774063,6.8468685e-08,0.001147337436331
2190,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,140.000691052,1038.14075469,9.932053e-09,0.000446793011467
2191,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4052.05837366,397590.047305,3.79514221e-06,0.0134566702665
2192,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,601.491988018,17315.9276047,1.65541341e-07,0.001965215638796
2193,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,603.576600526,17546.6419172,1.67579185e-07,0.001959811896304
2194,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1264.87468339,99355.7788812,9.48566163e-07,0.003901780491929
2195,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,640.276699012,25617.5614625,2.44672549e-07,0.001995491451819
2196,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,846.351969024,43266.7107125,4.13691793e-07,0.002583614932808
2197,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,675.992991227,27360.6026438,2.61408572e-07,0.002116253139183
2198,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,353.496877675,4160.85052,3.9788392e-08,0.001015025972298
2199,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2225.96324728,225944.05865,2.158817247e-06,0.006929223238233
2200,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1196.37917795,82525.3123773,7.89010843e-07,0.00367047071152
2201,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1415.72643988,95553.0908312,9.12864363e-07,0.004298712868065
2202,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,782.541211854,38262.5328437,3.64975467e-07,0.00242552946727
2203,OR3,OFFICE/RES,OFFICE,935.609371804,54687.889125,5.22622675e-07,0.002921296096917
2204,R5A,RES MULTI FAMILY,RESIDENTIAL,652.82042999,22741.3975406,2.17391193e-07,0.002002047372279
2205,R7,RES MULTI-FAMILY,RESIDENTIAL,735.758813695,32612.8149391,3.11657435e-07,0.002306484211337
2206,R7,RES MULTI-FAMILY,RESIDENTIAL,2161.32595268,281091.580481,2.686626717e-06,0.006863455585236
2207,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2729.9559566,181614.82114,1.735715109e-06,0.008315615496629
2208,R1,RES SINGLE FAMILY,RESIDENTIAL,6272.12310903,1997394.69154,1.9088763749e-05,0.019671831498987
2209,OR3,OFFICE/RES,OFFICE,1074.59397317,61665.4900875,5.89347291e-07,0.003488346625174
2210,M2,INDUSTRIAL,INDUSTRIAL,2287.36454104,154433.27105,1.475900464e-06,0.007239102844009
2211,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,812.076361972,36582.3357031,3.49611362e-07,0.002409396491758
2212,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1232.17399378,81821.6434625,7.82100176e-07,0.003769000080963
2213,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2177.99806054,121506.393561,1.161434021e-06,0.007005938487176
2214,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2165.15259537,159515.972413,1.524749659e-06,0.006706966124222
2215,OR1,OFFICE/RES,OFFICE,1205.8572615,72237.3874609,6.90485346e-07,0.003905702894323
2216,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1473.93226232,72067.9513938,6.88870657e-07,0.00477628556416
2217,OR2,OFFICE/RES,OFFICE,1151.14037443,41668.1524437,3.98297508e-07,0.003720443095251
2218,R1,RES SINGLE FAMILY,RESIDENTIAL,2692.59800042,308803.475144,2.951728172e-06,0.008821248087185
2219,R5,RES SINGLE FAMILY,RESIDENTIAL,780.075123946,33337.4358187,3.1864962e-07,0.002313755877098
2220,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,738.631556304,34024.3138453,3.25207783e-07,0.002314167681382
2221,R7,RES MULTI-FAMILY,RESIDENTIAL,1206.27361693,75233.5339906,7.19090545e-07,0.00383978953348
2222,OR3,OFFICE/RES,OFFICE,650.235493678,21458.7419344,2.05104966e-07,0.002081183813104
2223,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,611.8544529,12500.8821625,1.19486409e-07,0.001754730583327
2224,OR1,OFFICE/RES,OFFICE,529.557645436,9034.30863984,8.6349854e-08,0.001732427188265
2225,R1,RES SINGLE FAMILY,RESIDENTIAL,2904.71253683,425903.9367,4.070653959e-06,0.008575371542247
2226,OR2,OFFICE/RES,OFFICE,8400.4558601,1703991.02546,1.6286110307e-05,0.026422639188799
2227,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,856.662744766,45324.9485437,4.33209329e-07,0.002715426557199
2228,R7,RES MULTI-FAMILY,RESIDENTIAL,2332.47826302,193277.34765,1.847582484e-06,0.007185505815232
2229,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1097.44311109,65493.85932,6.26075329e-07,0.0032756084016
2230,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3518.61484319,412350.84168,3.941700426e-06,0.010974779379649
2231,R7,RES MULTI-FAMILY,RESIDENTIAL,6828.1980232,1790101.61154,1.7111362253e-05,0.020683920719956
2232,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,984.526260101,57036.3808312,5.4521608e-07,0.003001174247118
