FID,ZONING_COD,ZONING_NAM,ZONING_TYP,Shape_Leng,Shape_Area,Shape__Area,Shape__Length
183,R5,RES SINGLE FAMILY,RESIDENTIAL,2506.36457488,265508.11724,2.537970401e-06,0.008075251498118
184,R7,RES MULTI-FAMILY,RESIDENTIAL,626.632880943,21902.3687039,2.09361413e-07,0.001881833631633
185,R5,RES SINGLE FAMILY,RESIDENTIAL,4029.51674258,611764.97696,5.847847482e-06,0.012471373214471
186,R6,RES MULTI-FAMILY,RESIDENTIAL,20965.8220557,4500428.063,4.301774561e-05,0.070580682595038
187,R6,RES MULTI-FAMILY,RESIDENTIAL,1614.82525785,126693.259363,1.211047452e-06,0.005022442108265
188,R1,RES SINGLE FAMILY,RESIDENTIAL,18315.0330038,10290504.2529,9.8362944144e-05,0.057523918062083
189,R5B,RES TWO-FAMILY,RESIDENTIAL,2097.69149314,174151.444478,1.664761641e-06,0.006790632402164
190,R6,RES MULTI-FAMILY,RESIDENTIAL,989.221922974,60149.8640453,5.74993885e-07,0.003114822403095
191,M2,INDUSTRIAL,INDUSTRIAL,4430.66980529,696538.755125,6.658223626e-06,0.014682738331725
192,R6,RES MULTI-FAMILY,RESIDENTIAL,4462.66278883,659583.54844,6.304989929e-06,0.013410554110221
193,R5,RES SINGLE FAMILY,RESIDENTIAL,1800.06524335,151985.046394,1.452852451e-06,0.005780543747924
194,R7,RES MULTI-FAMILY,RESIDENTIAL,438.413356909,6414.92177031,6.1322003e-08,0.001397930394371
195,R6,RES MULTI-FAMILY,RESIDENTIAL,666.306591354,27581.6678039,2.63661067e-07,0.002094956961069
196,(OR1),OFFICE/RES OVERLAY,OFFICE,1529.94745204,60751.4371953,5.80737126e-07,0.004827660467168
197,R7,RES MULTI-FAMILY,RESIDENTIAL,955.489016804,42333.4243625,4.04675941e-07,0.002988965460351
198,R4,RES SINGLE FAMILY,RESIDENTIAL,1852.08198359,190933.680178,1.825214373e-06,0.005586365354954
199,R7,RES MULTI-FAMILY,RESIDENTIAL,1307.91467572,90915.8310672,8.6908255e-07,0.004045087127314
200,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5384.58167469,364246.698488,3.482265825e-06,0.017455721981078
201,R7,RES MULTI-FAMILY,RESIDENTIAL,2614.03237951,336783.89286,3.219711566e-06,0.008435585072123
202,R6,RES MULTI-FAMILY,RESIDENTIAL,535.501865324,15016.9006437,1.43563142e-07,0.001641290777272
203,OR2,OFFICE/RES,OFFICE,3347.57551719,254450.50851,2.432522272e-06,0.010465807572322
204,OR3,OFFICE/RES,OFFICE,2546.20446068,255275.01572,2.4406341e-06,0.00826246904094
205,R7,RES MULTI-FAMILY,RESIDENTIAL,441.962680371,10159.5159391,9.7132348e-08,0.001428648396388
206,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,5485.43571337,1186462.21413,1.133627761e-05,0.016712708977464
207,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1244.09751489,76421.8941156,7.3075584e-07,0.003952794456897
208,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,5161.7786507,983857.481569,9.407087696e-06,0.016892230214523
209,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2036.39073753,146284.00102,1.398678061e-06,0.006440391683077
210,(C1),COMM OVERLAY,COMMERCIAL-INDUSTRIAL,550.425814211,12810.5325609,1.22485019e-07,0.001687048541623
211,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,778.418407433,21678.1442031,2.07267898e-07,0.002388140723926
212,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,683.397736121,8302.31245781,7.9382521e-08,0.002242768320257
213,R5,RES SINGLE FAMILY,RESIDENTIAL,487.825176344,8503.19770469,8.1299495e-08,0.001615925156797
214,R5,RES SINGLE FAMILY,RESIDENTIAL,1917.07465281,192665.78612,1.842160557e-06,0.006045984505786
215,R5,RES SINGLE FAMILY,RESIDENTIAL,1307.7857233,92001.8988125,8.79668384e-07,0.004085591764474
216,R1,RES SINGLE FAMILY,RESIDENTIAL,4080.37950032,944136.53665,9.026693142e-06,0.012303444099732
217,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1267.9847073,79126.3391703,7.56522175e-07,0.003866679042727
218,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,890.259926292,47809.3030844,4.57121188e-07,0.002777994518845
219,R5B,RES TWO-FAMILY,RESIDENTIAL,1631.16371565,121504.403609,1.161709539e-06,0.005221529122314
220,OR,OFFICE/RESIDENTIAL,OFFICE,736.992336597,27651.3535609,2.64386305e-07,0.002245144022658
221,R7,RES MULTI-FAMILY,RESIDENTIAL,2056.89720351,181235.32763,1.732804098e-06,0.006571377166885
222,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1456.83001909,94460.0981359,9.03168155e-07,0.004779647398084
223,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,473.062271068,10790.5737906,1.03167974e-07,0.001394195097918
224,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2660.28833391,247853.980519,2.370072029e-06,0.008470201769738
225,OR2,OFFICE/RES,OFFICE,550.256719555,17930.6284391,1.71457787e-07,0.001729163327084
226,R1,RES SINGLE FAMILY,RESIDENTIAL,3463.18812516,443754.96407,4.243295878e-06,0.010270568174001
227,M1,INDUSTRIAL,INDUSTRIAL,567.388349099,20061.0455578,1.91819102e-07,0.001756537241551
228,R7,RES MULTI-FAMILY,RESIDENTIAL,521.601262031,10660.0872188,1.01930226e-07,0.001585476209491
229,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1120.28916059,35965.4237906,3.43886381e-07,0.003353352348414
230,OR3,OFFICE/RES,OFFICE,2027.91511869,173629.750869,1.660235514e-06,0.006533753247337
231,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,671.548139135,24204.4308781,2.31431321e-07,0.002003334956153
232,OR3,OFFICE/RES,OFFICE,412.202003172,5193.90206094,4.9662144e-08,0.001246220126892
233,R1,RES SINGLE FAMILY,RESIDENTIAL,11214.449533,2913862.78008,2.7860081962e-05,0.036840898927338
234,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,680.236499142,22529.7250031,2.15416457e-07,0.002004072129704
